class,x,y
A,1.96819694421,-1.22822405878
C,1.16439885135,0.67493923194
B,-1.47052286223,0.503236206007
A,0.813112433916,-0.952513021284
A,0.741333505978,-0.865356353167
D,-1.14188459107,1.08521352982
B,1.73145841381,-0.991305202809
A,1.05738473211,-1.00137721949
C,1.13020007185,0.883798735664
B,-0.386180975096,-1.33810400304
D,-0.655344123983,1.27490859986
B,-0.532273218253,-0.0113784731668
B,-0.195876523591,-1.56972454596
A,1.57851600144,-1.1040118433
A,-0.191349457926,-0.678954407572
C,0.973564563156,0.952983980961
A,1.62995745313,-1.09155089638
C,-1.07801929765,1.45190919887
A,1.4406206373,-1.09254513885
B,-0.371878280468,-0.420386036613
D,-2.00526616535,0.607094000119
D,-1.85193580282,0.678412613571
B,-1.5380956942,-0.455995474591
A,0.540779035762,-0.860719406419
C,0.0867444542188,2.67818954548
C,1.27104885847,1.85795124614
B,-1.08287083922,-1.35662815141
B,1.23599001603,0.290774065688
D,-0.811275342124,1.18863403423
C,0.557834007365,-0.267307676079
D,-0.95263874543,1.04652001392
A,0.618373227116,-0.862570419385
D,-0.925600017666,0.98681248391
B,0.720186541963,-1.76514637818
D,-1.1120846611,1.03072351092
A,1.3624172183,-1.05403026019
A,2.07391000871,-1.24914596555
C,1.2631174701,1.76677103293
A,0.865434569177,-0.89711415666
B,-0.166283877072,-0.959386481856
B,-0.721763915066,-0.405926754811
D,0.330705205433,1.35624261264
B,0.407592753547,-1.86901173811
A,1.35360894982,-1.08900777393
B,-1.43446939441,-1.19692823547
C,1.42851473913,1.35439484739
D,-1.1266403153,0.992793886557
A,0.725488025224,-0.87644743763
A,0.178861894364,-0.767343073954
A,0.734937753664,-0.864537494
A,1.46541025543,-1.10916878977
C,-1.64004285557,2.99276752341
A,2.06226602349,-1.27970114038
C,1.24951301375,0.729066702279
A,0.350384403486,-0.775221648628
B,0.0241003929168,-1.34395241972
D,-0.726507129418,1.45609790765
D,-1.32933899259,0.741684704477
C,-1.27994971542,0.749933777504
A,1.31039630992,-1.07643379454
B,-1.52636295122,-0.104386881666
A,1.41711743262,-1.10435173104
B,0.40696686266,-1.74555199355
B,0.1854190814,-1.21789300568
B,0.395962632611,-1.22021935497
D,-1.7372276788,0.753310609769
C,0.228741895749,2.55098443685
C,-0.436969163356,1.26199918121
B,-0.201397930204,0.230623467688
D,-2.54398821421,0.356764958421
B,1.78744140334,-1.44845470668
B,-0.241053884398,-1.03501859531
A,0.550651656749,-0.864680862066
B,-1.46497449169,-1.73400654966
A,1.18589774042,-1.03447120303
A,0.477231271056,-0.79460437225
A,0.463174612564,-0.835397571384
D,-0.506156011389,1.30496353807
D,-1.69597507551,0.637592875516
A,0.134486094602,-0.724551761393
A,1.6694549446,-1.13336896295
A,1.25215615574,-1.00275511802
B,0.166764582135,-0.830683295135
A,1.36822837869,-1.07999259077
D,-2.34951441791,0.515294792215
A,1.25843867111,-1.07082231127
B,1.10960423801,-1.66823114166
C,0.298920716715,0.553294780757
D,-0.941749851619,1.13999803614
B,-0.883315363578,-0.888757036785
D,-0.763885127996,1.21248006052
B,-0.00711987229736,-0.72417697919
D,-0.724309258937,1.38221737348
B,-0.0320417218367,-0.658718773724
D,-0.190893936329,1.76571466923
D,-2.0106021491,0.695705815496
C,0.787143459344,1.59215321263
D,-0.464451500999,0.956816129498
D,-1.75247936327,0.861506655148
B,-1.6127741046,-0.331891971565
C,1.37415431915,1.57640149876
B,-0.141958157562,-0.905660835101
A,0.574154284704,-0.867688779783
B,0.794450754757,-2.14115692939
D,-2.37202505117,0.216037799227
B,-0.425941447538,-1.33038684344
A,0.769740571338,-0.896934363122
C,0.942651597523,0.827874488877
C,1.86238530372,-1.63203894663
C,-1.12204051671,2.15139253671
D,-0.83630268012,1.05967857064
A,1.50951933474,-1.12617347132
A,1.13829579468,-1.00671848749
D,-2.06255599201,0.791348725871
A,0.121526753127,-0.705438038001
B,1.13889853315,-1.82704128394
B,-1.71318270271,-0.735258082015
A,0.319607732343,-0.795098539525
A,1.20413267714,-0.995771636021
C,1.47379515267,-0.494441027274
B,0.384505826206,-1.87915026148
A,1.8061544391,-1.18122752564
C,-0.929735558922,3.59962639172
D,-0.301017684539,1.48670646544
