"x","y","class"
3.05418871571589,2.1712004839955,"A"
2.86437685693414,1.97122162261464,"A"
3.22278616126808,1.91088120504538,"A"
3.14899514429687,1.97355709809024,"A"
3.40890450027824,2.01122069752136,"A"
3.17231886047993,1.56845669200295,"A"
2.67968834247471,2.38894675507765,"A"
2.94671387018041,2.19410317293313,"A"
3.47413496797732,1.72537312281163,"A"
3.44421580342068,1.56799506158945,"A"
3.14165112454508,2.10690955613922,"A"
3.00392986350114,2.18614116131095,"A"
3.09576433462929,2.21630519925362,"A"
2.98871572102167,2.07633220251402,"A"
3.00858797684925,1.97149430218814,"A"
3.04225669355458,2.10591306006208,"A"
3.29125670975692,1.80057257829828,"A"
2.98894900068698,1.84895068765756,"A"
2.97490788935352,2.42875264843773,"A"
2.9291388577816,1.82101293055047,"A"
3.38520374521774,1.96669109695344,"A"
3.04129225492748,1.7500587343466,"A"
3.32690559006364,2.46844002926593,"A"
3.32206421948039,1.91565289199448,"A"
3.14822423516201,2.24331757216592,"A"
2.92926407891943,2.24695698271586,"A"
3.31397100639996,1.76468584786839,"A"
3.22745978780716,2.0872963984762,"A"
2.76799297373141,1.85139532957803,"A"
3.31004520950079,1.40443929216387,"A"
3.03836604488866,2.26950474342769,"A"
3.2629831447474,2.16706127625566,"A"
2.81144719679562,1.75884358331722,"A"
2.62945272008719,1.50619066703385,"A"
3.21528296812443,1.85380652481799,"A"
2.89887004231075,2.24231925905149,"A"
2.9431486456816,2.13807308148464,"A"
3.23352404271562,1.97946112482153,"A"
2.88352603005226,1.58082156038996,"A"
2.84061412535745,2.3031518567545,"A"
3.33592715654984,2.2501249677447,"A"
3.04538384614948,2.17983224769712,"A"
3.32312808410429,1.78890896198941,"A"
2.5779878560338,2.15549634758685,"A"
2.79475160559226,1.8193465549121,"A"
2.78446346397506,1.88763034371584,"A"
3.02471092228449,1.70112348748278,"A"
2.90608621395041,2.09761809075421,"A"
3.18097603882106,1.87090583934086,"A"
2.55065449535687,2.22746724448397,"A"
2.83406421460594,2.21924616323967,"A"
2.84406837781771,1.79595104753203,"A"
2.98009189204046,2.3848233174743,"A"
3.10890619070735,2.34363142890231,"A"
3.49272524243106,1.87918782220854,"A"
2.85081033187272,2.13758748758472,"A"
2.86187319709776,1.78565858424824,"A"
3.17399165842528,1.82325965845688,"A"
2.961084008848,1.47573061664267,"A"
3.33722454879943,2.27485918868992,"A"
2.73286923237831,2.08550852226239,"A"
3.26611268670103,2.12270737010429,"A"
2.67181955886563,1.76700024350773,"A"
3.51592367556298,1.64302700402556,"A"
3.03284575266567,2.24394127365188,"A"
2.94207788777127,1.61341470305733,"A"
2.90066111925664,2.00442586980476,"A"
3.22235802057034,1.80632064969451,"A"
3.13154225987418,1.94266442818928,"A"
2.95718168925935,1.93140447390248,"A"
3.03966922436081,2.44901594538175,"A"
2.87858373345689,1.88047177515834,"A"
2.7602734812502,1.8513092867482,"A"
3.04512932302676,1.43551544574291,"A"
3.18043357070473,2.42065180294949,"A"
2.9076148804698,2.01807267110531,"A"
3.05938457813491,1.88999397670661,"A"
2.83351947189627,2.15664334814707,"A"
2.80079812253931,1.80005098514065,"A"
2.98707576717215,1.71800349444204,"A"
3.32173208332438,1.74374598663813,"A"
2.9464625843154,2.01776793237443,"A"
2.85631363392465,2.09542779041154,"A"
2.63231823892692,1.59435292062607,"A"
2.74181539179438,2.47513566747245,"A"
2.67336878619008,1.82095520840837,"A"
2.79043689817021,2.09511491722643,"A"
2.7173365797438,2.11021071185037,"A"
3.09218704382075,2.06433146458626,"A"
2.94954924491728,1.95513786571449,"A"
2.68058502430671,1.82746808018501,"A"
2.80049687983286,1.99989429938338,"A"
3.0397706057365,2.14139522411115,"A"
3.15369940828586,1.69781324755405,"A"
3.1719869905966,1.91345721099648,"A"
2.98823724723594,1.83745073889322,"A"
3.58258041957487,1.77760208230373,"A"
2.85560850225475,2.36925747182654,"A"
3.24211978357296,1.70113121537122,"A"
2.93061609313442,2.43762370870788,"A"
2.30368253594381,3.29010423551001,"B"
1.61304993296473,4.37786726399248,"B"
1.92443849187922,4.36058864128075,"B"
2.25980192907726,4.12634232091155,"B"
1.80803956860335,3.81067668764728,"B"
2.38116814513594,4.06230952117687,"B"
1.39447817317986,3.92078685109761,"B"
2.13908207938222,4.025730336187,"B"
2.27638347678028,3.94709784968842,"B"
2.04160920397459,4.06763577011242,"B"
1.94363442568667,3.92324993626385,"B"
1.94289691729536,4.22246717944259,"B"
1.93670269328899,4.09701086960171,"B"
2.51706833298956,3.4314029593963,"B"
2.39579746462024,3.86251207801815,"B"
1.73935231366187,4.08259500464653,"B"
1.99790314990566,3.85046384158166,"B"
1.66647802673998,3.68448893615798,"B"
2.03663400730441,4.19082460159841,"B"
1.80304414402338,4.21024115974205,"B"
1.92775060036833,4.03955625663123,"B"
2.16670982502629,4.26162452893272,"B"
1.96584219499194,3.83678684022702,"B"
2.05602232692892,3.75982001042709,"B"
2.27930166678075,3.94971289723758,"B"
1.64037640060662,4.1733962117312,"B"
2.15859143120298,3.75049328485264,"B"
1.87520129909627,3.75009079599852,"B"
2.28156810937252,3.90917128416064,"B"
1.97495382823954,4.26441662672859,"B"
1.72253949598129,4.26973954256046,"B"
2.16448106548625,4.30949922618847,"B"
1.98917599643512,4.21352810355211,"B"
2.15709730625178,3.79661527840663,"B"
1.76579269686661,3.90804123320635,"B"
1.91065414871165,4.27942092665376,"B"
1.98873177051706,4.02843164430115,"B"
1.91298653491041,3.88886468409679,"B"
1.91025652366665,3.63857003517232,"B"
2.09890381133044,3.90388894993457,"B"
1.75401396024979,4.14828205112092,"B"
1.99432485946635,4.06126286808907,"B"
1.77886244872429,3.56354992360099,"B"
2.12126010970986,4.01560596217318,"B"
1.79211734420601,3.72849182268891,"B"
2.29328770521912,3.97311909048493,"B"
2.01525386587349,4.11279864251766,"B"
2.03918840533353,4.27359239800361,"B"
2.11722643890064,4.22648978452843,"B"
2.13629019885114,3.75062223505803,"B"
2.09890054076463,3.82104019102897,"B"
1.76965916366428,4.1056502186389,"B"
1.830856847263,4.10823334212718,"B"
1.5140261735648,4.02113291116103,"B"
2.02999578916113,4.13802402726415,"B"
2.31651931744512,3.86555863098931,"B"
1.72550329986517,4.03143664025999,"B"
2.10947661456146,4.25097183055503,"B"
2.15409826092747,4.2679593105655,"B"
2.00446741057049,3.88741185790635,"B"
1.69020274212874,4.23961039850699,"B"
1.87394476738598,4.22608117941604,"B"
2.32919541940679,3.69216730859722,"B"
2.19860754776721,3.92738590118936,"B"
2.12125854383112,3.58697276972564,"B"
2.59275795323162,4.00935244240972,"B"
1.92957373787235,3.48932990071978,"B"
2.049748869295,4.02781737342038,"B"
2.20255880521527,4.07780091647957,"B"
1.9694353536232,3.84027389364288,"B"
2.25192986060937,4.23319158045303,"B"
2.12939553560462,3.93183046283882,"B"
1.94250715202962,4.31045998164245,"B"
1.95809155536758,3.73482850857036,"B"
1.38098959092153,4.47202909111964,"B"
1.849711443385,3.70797703505055,"B"
2.00787715263669,4.10475111118511,"B"
2.3065311470716,3.58687958723068,"B"
1.82519629771176,4.04422637392973,"B"
1.62396280263999,3.96401913409497,"B"
1.94370474853925,4.59067668880229,"B"
1.99776582798948,4.30424241380598,"B"
1.63040958646736,4.10082155729948,"B"
1.53806276861553,4.1594068055664,"B"
1.78849229729897,3.77772752940738,"B"
2.31393693383018,3.6711979177422,"B"
1.66237451055648,4.04453339351881,"B"
2.08095378301098,3.64404819952838,"B"
2.02969875564763,3.62407753751803,"B"
2.16240404560843,3.7311503636588,"B"
2.17040442739691,4.03544775630833,"B"
2.62937891172472,4.06554871174996,"B"
2.07563124846395,4.29847917230832,"B"
1.83404733729197,3.57827672000168,"B"
2.01573896467401,4.06001184268631,"B"
1.70308429392107,3.71886825840992,"B"
1.8948741512708,3.78744966598581,"B"
1.81309488786839,3.91531610440814,"B"
1.96841818635853,3.98507223106954,"B"
1.74533322591925,3.96152972444826,"B"
3.70447099854631,1.58882991648217,"C"
4.11406483510966,1.79500602105541,"C"
3.94042818586576,1.58044009035432,"C"
4.20304093372946,2.10604124120351,"C"
3.8173363691775,1.91280335557053,"C"
3.45142973558831,1.98691704857294,"C"
4.25038496090414,1.93133391731674,"C"
4.29184488037833,2.12882616577317,"C"
4.19241055248753,1.67361999219587,"C"
4.39699691412363,2.42477505165855,"C"
4.0878374247842,1.87437066534597,"C"
3.86641548906788,1.92377418171989,"C"
3.92878034085952,1.83630571192343,"C"
3.98681895965072,2.06837840120211,"C"
4.0161108506643,1.5689708107982,"C"
3.85533331039479,1.87760086985681,"C"
3.99685289559003,1.96597588352012,"C"
4.22641692004202,1.89827424999067,"C"
3.87231498437347,2.38809437544995,"C"
4.05392050118931,2.21634783390667,"C"
3.85405268616693,2.08715164670876,"C"
3.69574771659453,1.68538776489318,"C"
4.04255527830264,2.11895786788531,"C"
4.03277156031257,2.21823140732711,"C"
3.94011478582655,1.86410604491061,"C"
3.85838026521801,2.04860982782484,"C"
4.00976021049606,2.09972182183654,"C"
3.52221946493442,2.03262870985397,"C"
3.99373436877366,1.85135078609482,"C"
4.16626859773083,2.1754349675572,"C"
4.33072445107034,1.96151602830675,"C"
4.79354668627964,2.1464978482906,"C"
3.53286430113847,2.29194701595992,"C"
3.66296739941806,1.42437006303226,"C"
4.57591358857328,2.2050468535197,"C"
4.06387255036362,2.18053104715664,"C"
4.2170796376664,2.02441226747732,"C"
4.08895992171062,2.40941964201058,"C"
3.71362926862438,1.86514687624919,"C"
4.07397037301058,1.88682726625144,"C"
3.82600823324728,1.68944168181923,"C"
4.29625574434869,2.01106214656764,"C"
4.38129972416076,2.0017388543223,"C"
4.10521234323734,1.75160305799859,"C"
4.38979034104028,2.17880621510727,"C"
4.40711679199342,2.15006972851535,"C"
4.04327785695275,1.98627416502998,"C"
3.91521050071102,2.17443757832602,"C"
3.68070179242987,2.20362436389566,"C"
4.01510501812324,1.41985679018756,"C"
3.71641199855855,1.77830381666361,"C"
3.98415981187571,2.1592720587676,"C"
3.81685595045534,2.37477250262035,"C"
4.2685096050172,1.62470534791943,"C"
4.36971610132935,2.67267909264268,"C"
3.36674767041709,1.99410782797159,"C"
3.79506494344666,1.93989840659544,"C"
4.07971628990609,1.77650998978526,"C"
3.75747484640511,2.1143470596047,"C"
3.90347409150082,1.90014710779747,"C"
3.99092738287263,2.29190340263867,"C"
4.19683977955245,1.781652047364,"C"
4.10729839829448,2.14100345414027,"C"
4.16412280434113,2.23505358921638,"C"
3.81287562925784,1.75809371692593,"C"
4.00296822909549,2.12714993293298,"C"
3.84830366818607,1.68739385807894,"C"
4.35149654935034,2.03748924612377,"C"
3.84247534912971,2.07631385061285,"C"
3.78132997612703,1.92568636012017,"C"
3.70172984447297,1.78367125097399,"C"
4.09191784131934,1.76811459420249,"C"
3.82499007600675,2.55340197467035,"C"
3.89363924764013,2.08604231071915,"C"
4.25343094171556,2.06751786052833,"C"
4.10513202522413,1.72601994872066,"C"
4.33133055078195,1.78503292769691,"C"
4.26109061407776,1.78203736401599,"C"
3.83677199278567,1.77503900108387,"C"
3.58505592018905,2.331848958978,"C"
3.62250703857372,2.13166783124549,"C"
4.07822062343584,2.12076478257831,"C"
3.52558063297776,2.0403276925935,"C"
3.84869793444761,1.93782863115523,"C"
3.91224223871994,1.80145031100694,"C"
3.74741207839347,2.45693697097592,"C"
3.88789387799075,2.20456949061065,"C"
4.21700863631928,2.18135491622512,"C"
4.01977852742519,1.95300765959263,"C"
3.83335778096804,2.17000137300475,"C"
3.97314939238912,2.12878005512523,"C"
4.11879863056151,1.98150957709043,"C"
3.79078583340399,2.27968686096225,"C"
4.10702924591061,2.16837974011767,"C"
3.83851987700138,1.6894111129577,"C"
4.14416187108563,1.86225843592015,"C"
3.9773026508257,2.18819117622638,"C"
3.95679210637832,1.54666168650089,"C"
3.8851734528201,1.92882573103746,"C"
3.85458884131282,1.90989046600016,"C"
2.46169894875937,3.14028876097256,"D"
2.85681442622839,2.87685486543178,"D"
3.18525603190828,3.23218979808964,"D"
2.94179987941292,2.79021109582801,"D"
2.66327625444622,3.15969146826807,"D"
2.79953602836484,2.94787346177844,"D"
3.401217764301,2.95356117940831,"D"
3.27470457085043,3.00296712438887,"D"
2.74601681929504,2.57157011274019,"D"
3.0120059907713,2.92252411165653,"D"
3.19286562443988,2.83817062240389,"D"
3.17943758487741,2.84709117996631,"D"
3.14101325191503,3.07184056880361,"D"
2.93973479391613,3.07982716410681,"D"
2.48373500606574,3.3559902261726,"D"
3.3312680212999,2.96819252985911,"D"
3.18598660796939,3.18793131161301,"D"
2.92930322741389,2.83875179632053,"D"
2.90226359016281,2.62426533298151,"D"
2.89780445832222,2.8895953606861,"D"
